oneid,choice,ave_other,profit,size,whichgroup,round,rematching,time,actual_size
1305,10,4.5,9.5,3,0,2,assortatively,2021-03-05T11:35:52Z,3
1305,5,8.5,16,3,6,3,assortatively,2021-03-05T11:38:32Z,3
1305,5,3.5,11,3,1,4,assortatively,2021-03-05T11:40:22Z,3
1305,1,4.5,14,3,1,5,assortatively,2021-03-05T11:41:26Z,3
1305,0,7,17,3,0,6,assortatively,2021-03-05T11:43:19Z,3
1305,9,2,7.5,3,0,7,assortatively,2021-03-05T11:46:13Z,3
1305,1,9.5,19,3,6,8,assortatively,2021-03-05T11:47:47Z,3
1305,10,1.5,6.5,3,1,9,assortatively,2021-03-05T11:49:29Z,3
1305,1,10,19.5,3,6,10,assortatively,2021-03-05T11:51:33Z,3
1305,1,1.5,11,3,1,11,assortatively,2021-03-05T11:54:20Z,3
1305,1,5,14.5,3,0,14,assortatively,2021-03-05T12:00:50Z,3
1305,0,0.5,10.5,3,1,15,assortatively,2021-03-05T12:02:00Z,3
1305,1,0,9.5,3,0,16,assortatively,2021-03-05T12:03:34Z,3
1305,1,2,11.5,3,2,17,assortatively,2021-03-05T12:05:56Z,3
1305,1,1.5,11,3,2,18,assortatively,2021-03-05T12:09:13Z,3
1305,1,2,11.5,3,1,19,assortatively,2021-03-05T12:09:24Z,3
1305,1,1,10.5,3,1,20,assortatively,2021-03-05T12:12:13Z,3
5925,7,6.5,13,3,3,2,assortatively,2021-03-05T11:35:20Z,3
5925,7,7,13.5,3,3,3,assortatively,2021-03-05T11:37:19Z,3
5925,7,5.5,12,3,3,4,assortatively,2021-03-05T11:39:34Z,3
5925,7,7.5,14,3,3,5,assortatively,2021-03-05T11:41:16Z,3
5925,7,6.5,13,3,4,6,assortatively,2021-03-05T11:43:27Z,3
5925,7,7,13.5,3,4,7,assortatively,2021-03-05T11:45:17Z,3
5925,7,7,13.5,3,4,8,assortatively,2021-03-05T11:47:17Z,3
5925,7,7,13.5,3,5,9,assortatively,2021-03-05T11:49:23Z,3
5925,7,6.5,13,3,4,10,assortatively,2021-03-05T11:51:27Z,3
5925,7,8,14.5,3,4,11,assortatively,2021-03-05T11:53:20Z,3
5925,7,6,12.5,3,4,12,assortatively,2021-03-05T11:55:21Z,3
5925,7,6,12.5,3,4,13,assortatively,2021-03-05T11:57:26Z,3
5925,7,10,16.5,3,5,14,assortatively,2021-03-05T11:59:24Z,3
5925,7,8.5,15,3,4,15,assortatively,2021-03-05T12:01:27Z,3
5925,7,6.5,13,3,4,16,assortatively,2021-03-05T12:03:25Z,3
5925,7,6,12.5,3,4,17,assortatively,2021-03-05T12:05:18Z,3
5925,7,10,16.5,3,5,18,assortatively,2021-03-05T12:07:20Z,3
5925,7,8.5,15,3,4,19,assortatively,2021-03-05T12:09:26Z,3
5925,7,5,11.5,3,4,20,assortatively,2021-03-05T12:11:35Z,3
6490,5,6,13.5,3,6,2,randomly,2021-03-05T11:35:23Z,3
6490,6,4,11,3,2,3,randomly,2021-03-05T11:37:20Z,3
6490,7,7,13.5,3,3,4,randomly,2021-03-05T11:39:20Z,3
6490,3,0,8.5,3,6,5,randomly,2021-03-05T11:41:24Z,3
6490,9,8,13.5,3,0,6,randomly,2021-03-05T11:43:18Z,3
6490,4,1,9,3,4,7,randomly,2021-03-05T11:45:18Z,3
6490,8,5.5,11.5,3,5,8,randomly,2021-03-05T11:47:17Z,3
6490,1,4.5,14,3,6,9,randomly,2021-03-05T11:49:19Z,3
6490,10,2,7,3,3,10,randomly,2021-03-05T11:51:28Z,3
6490,6,3.5,10.5,3,0,11,randomly,2021-03-05T11:53:20Z,3
6490,1,5,14.5,3,6,12,randomly,2021-03-05T11:55:24Z,3
6490,3,5,13.5,3,4,13,randomly,2021-03-05T11:57:22Z,3
6490,8,5,11,3,4,14,randomly,2021-03-05T11:59:32Z,3
6490,2,3.5,12.5,3,3,15,randomly,2021-03-05T12:01:25Z,3
6490,7,2.5,9,3,5,16,randomly,2021-03-05T12:03:26Z,3
6490,9,6,11.5,3,1,17,randomly,2021-03-05T12:05:18Z,3
6490,1,5.5,15,3,1,18,randomly,2021-03-05T12:07:21Z,3
6490,5,7.5,15,3,3,19,randomly,2021-03-05T12:09:31Z,3
6490,7,4,10.5,3,2,20,randomly,2021-03-05T12:11:43Z,3
