oneid,choice,ave_other,profit,size,whichgroup,round,rematching,time
1005,5,NULL,NULL,NULL,1,1,not,2021-10-29 13:30:21
1005,5,6,13.5,3,0,2,not,2021-10-29 13:36:10
1005,5,6,13.5,3,0,3,not,2021-10-29 13:37:33
1005,5,5,12.5,3,0,4,not,2021-10-29 13:39:18
1005,4,6,14,3,0,5,not,2021-10-29 13:41:25
1005,4,4.5,12.5,3,0,6,not,2021-10-29 13:43:23
1005,4,5,13,3,0,7,not,2021-10-29 13:45:37
1005,4,6.5,14.5,3,0,8,not,2021-10-29 13:48:49
1005,4,5,13,3,0,9,not,2021-10-29 13:49:18
1005,3,6,14.5,3,0,10,not,2021-10-29 13:51:32
1005,3,3,11.5,3,0,11,not,2021-10-29 13:53:21
1005,4,5.5,13.5,3,0,12,not,2021-10-29 13:55:27
1005,3,1.5,10,3,0,13,not,2021-10-29 13:57:24
1005,5,3,10.5,3,0,14,not,2021-10-29 13:59:33
1005,4,5,13,3,0,15,not,2021-10-29 14:01:20
1005,4,NULL,NULL,NULL,0,16,not,2021-10-29 14:05:13
9096,4,NULL,NULL,NULL,1,1,not,2021-10-29 13:30:44
9096,5,6,13.5,3,0,2,not,2021-10-29 13:35:20
9096,5,6,13.5,3,0,3,not,2021-10-29 13:37:33
9096,4,5.5,13.5,3,0,4,not,2021-10-29 13:39:26
9096,6,5,12,3,0,5,not,2021-10-29 13:41:40
9096,4,4.5,12.5,3,0,6,not,2021-10-29 13:43:21
9096,4,5,13,3,0,7,not,2021-10-29 13:46:08
9096,5,6,13.5,3,0,8,not,2021-10-29 13:47:52
9096,3,5.5,14,3,0,9,not,2021-10-29 13:49:34
9096,5,5,12.5,3,0,10,not,2021-10-29 13:51:32
9096,4,2.5,10.5,3,0,11,not,2021-10-29 13:53:21
9096,3,6,14.5,3,0,12,not,2021-10-29 13:55:32
9096,3,1.5,10,3,0,13,not,2021-10-29 13:57:23
9096,2,4.5,13.5,3,0,14,not,2021-10-29 13:59:33
9096,4,5,13,3,0,15,not,2021-10-29 14:01:20
9096,3,5.5,14,3,0,16,not,2021-10-29 14:03:27
9096,3,6,13.75,2,0,17,not,2021-10-29 14:05:54
9096,3,6,13.75,2,0,18,not,2021-10-29 14:08:04
9096,3,7,14.5,2,0,19,not,2021-10-29 14:09:18
9096,3,5,13,2,0,20,not,2021-10-29 14:11:21
9727,5,NULL,NULL,NULL,2,1,assortatively,2021-10-29 13:30:23
9727,5,3.5,11,3,1,2,assortatively,2021-10-29 13:35:34
9727,3,5.5,14,3,2,3,assortatively,2021-10-29 13:37:42
9727,3,2.5,11,3,1,4,assortatively,2021-10-29 13:39:30
9727,1,2.5,12,3,1,5,assortatively,2021-10-29 13:41:39
9727,1,4,13.5,3,0,6,assortatively,2021-10-29 13:43:19
