whichgroup,round,rematching,variability_contributions
0,2,assortatively,1.5275252316519468
0,2,not,2.6457513110645907
0,2,randomly,4.193248541803041
0,3,assortatively,1.4142135623730951
0,3,not,3.4641016151377544
0,3,randomly,1.5275252316519468
0,4,assortatively,3.4641016151377544
0,4,not,2.6457513110645907
0,4,randomly,2.6457513110645907
0,5,assortatively,0.5773502691896257
0,5,not,2.6457513110645907
0,5,randomly,1.5275252316519468
0,6,assortatively,0.5773502691896257
0,6,not,2.886751345948129
0,6,randomly,4
0,7,assortatively,1.5275252316519468
0,7,not,2.886751345948129
0,7,randomly,5.507570547286102
0,8,assortatively,4.163331998932265
0,8,not,0.5773502691896257
0,8,randomly,3.7859388972001824
0,9,assortatively,0.5773502691896257
0,9,not,2.309401076758503
0,9,randomly,2.6457513110645907
0,10,assortatively,0
0,10,not,1.7320508075688772
0,10,randomly,2.309401076758503
0,11,assortatively,1
0,11,not,1.5275252316519468
0,11,randomly,1.707825127659933
0,12,assortatively,1.1547005383792515
0,12,not,1.5275252316519468
0,12,randomly,4.509249752822894
0,13,assortatively,0.5773502691896257
0,13,not,2.0816659994661326
0,13,randomly,4.163331998932265
0,14,assortatively,2.0816659994661326
0,14,not,2.0816659994661326
0,14,randomly,1.8929694486000912
0,15,assortatively,0.5773502691896257
0,15,not,1.7320508075688772
0,15,randomly,2.6457513110645907
0,16,assortatively,2.309401076758503
0,16,not,1.1547005383792515
0,16,randomly,3.0550504633038935
0,17,assortatively,0.5773502691896257
0,17,not,1.5275252316519468
0,17,randomly,2.0816659994661326
0,18,assortatively,3.0550504633038935
0,18,not,2
0,18,randomly,5.773502691896258
0,19,assortatively,1.5275252316519468
0,19,not,1.7320508075688772
0,19,randomly,5
0,20,assortatively,4.358898943540674
0,20,not,2.516611478423583
0,20,randomly,2.0816659994661326
1,2,assortatively,3.0550504633038935
1,2,not,4.163331998932265
1,2,randomly,2.6457513110645907
1,3,assortatively,0.5773502691896257
1,3,not,4.932882862316247
1,3,randomly,2.6457513110645907
1,4,assortatively,1.5275252316519468
1,4,not,4.509249752822894
1,4,randomly,2.309401076758503
1,5,assortatively,0
1,5,not,4.509249752822894
1,5,randomly,2.6457513110645907
1,6,assortatively,0.7071067811865476
1,6,not,4.725815626252608
1,6,randomly,2.516611478423583
1,7,assortatively,0.5773502691896257
1,7,not,4.509249752822894
1,7,randomly,3.7859388972001824
1,8,assortatively,2.886751345948129
1,8,not,4.58257569495584
1,8,randomly,0.5773502691896257
1,9,assortatively,1.7320508075688772
1,9,not,3.5355339059327378
1,9,randomly,3.2145502536643185
1,10,assortatively,0
1,10,not,4.242640687119285
1,10,randomly,5.033222956847166
1,11,assortatively,0.5773502691896257
1,11,not,6.363961030678928
1,11,randomly,5.033222956847166
1,12,assortatively,1.1547005383792515
1,12,not,2.1213203435596424
1,12,randomly,2.0816659994661326
1,13,assortatively,1.7320508075688772
1,13,not,3.5355339059327378
1,13,randomly,4.163331998932265
1,14,assortatively,1.5275252316519468
1,14,not,2.1213203435596424
1,14,randomly,3
1,15,assortatively,2.0816659994661326
1,15,not,0
1,15,randomly,4.725815626252608
1,16,assortatively,1.1547005383792515
1,16,not,0.7071067811865476
1,16,randomly,4
1,17,assortatively,1.1547005383792515
1,17,not,1.4142135623730951
1,17,randomly,2.886751345948129
1,18,assortatively,3.0550504633038935
1,18,not,5.656854249492381
1,18,randomly,3.0550504633038935
1,19,assortatively,1.7320508075688772
1,19,not,0
1,19,randomly,1.1547005383792515
1,20,assortatively,1.7320508075688772
1,20,not,6.363961030678928
1,20,randomly,0
2,2,assortatively,2.1213203435596424
2,2,not,3.605551275463989
2,2,randomly,1
2,3,assortatively,1.1547005383792515
2,3,not,2.886751345948129
2,3,randomly,3.7859388972001824
2,4,assortatively,2.6457513110645907
2,4,not,1
2,4,randomly,3
2,5,assortatively,0.5773502691896257
2,5,not,0.5773502691896257
2,5,randomly,4.618802153517006
2,6,assortatively,0
2,6,not,2.0816659994661326
2,6,randomly,4.358898943540674
2,7,assortatively,0
2,7,not,1
2,7,randomly,1.1547005383792515
2,8,assortatively,0.5773502691896257
2,8,not,1
2,8,randomly,3.2145502536643185
2,9,assortatively,0.5773502691896257
2,9,not,0.5773502691896257
2,9,randomly,1.1547005383792515
2,10,assortatively,2.309401076758503
2,10,not,0.5773502691896257
2,10,randomly,5.507570547286102
2,11,assortatively,0.5773502691896257
2,11,not,3.4641016151377544
2,11,randomly,3
2,12,assortatively,0.5773502691896257
2,12,not,1.5275252316519468
2,12,randomly,4.041451884327381
2,13,assortatively,2.516611478423583
2,13,not,1.7320508075688772
2,13,randomly,2.8431203515386634
2,14,assortatively,0.5773502691896257
2,14,not,1.1547005383792515
2,14,randomly,1.7320508075688772
2,15,assortatively,1.5275252316519468
2,15,not,NA
2,15,randomly,2.179449471770337
2,16,assortatively,1.5275252316519468
2,16,not,NA
2,16,randomly,4.041451884327381
2,17,assortatively,2.0816659994661326
2,17,not,NA
2,17,randomly,2
2,18,assortatively,2.6457513110645907
2,18,not,NA
2,18,randomly,4.163331998932265
2,19,assortatively,4.358898943540674
2,19,not,NA
2,19,randomly,4.58257569495584
2,20,assortatively,1.1547005383792515
2,20,not,NA
2,20,randomly,1
3,2,assortatively,1.1547005383792515
3,2,not,5.363845013918032
3,2,randomly,1.1547005383792515
3,3,assortatively,2
3,3,not,4.584848234492973
3,3,randomly,1.0408329997330663
3,4,assortatively,2.0816659994661326
3,4,not,3.5029749261639505
